pair,FileName,Subfolder,ImageName,deltaE2000,Flag,class,level,score,new_score,normalized_score,Description,Temperature_class,distance,Majority_Label,Confidence
pair_1,a0001-jmac_DSC1459,3600K,a0001-jmac_DSC1459_3600K.jpg,8.434052889,,1,9,3,0.68,0.54,"This is an image of Monument Valley in the southwestern United States desert region. The theme focuses on the massive rock formations sculpted by nature and the vast desert landscape, categorized as landscape photography.",-1,650,-1,0.728217778
pair_1,a0001-jmac_DSC1459,5200K,a0001-jmac_DSC1459_5200K.jpg,8.370935584,,2,57,2,0.92,0.89,"This is an image of Monument Valley in the southwestern United States desert region. The theme focuses on the massive rock formations sculpted by nature and the vast desert landscape, categorized as landscape photography.",1,950,1,0.728217778
pair_10,a0019-jmac_MG_0653,2200K,a0019-jmac_MG_0653_2200K.jpg,10.20229475,,1,2,4,0.8,0.71,"This is an image of indoor musical instrument placement, with the theme being a black electric guitar or bass lying in a red instrument case. Inside the case, there are tuning tools and sheets of paper. It belongs to the genre of still life photography.",-1,438,1,0.728217778
pair_10,a0019-jmac_MG_0653,3800K,a0019-jmac_MG_0653_3800K.jpg,11.11856707,,2,58,5,0.54,0.34,"This is an image of indoor musical instrument placement, with the theme being a black electric guitar or bass lying in a red instrument case. Inside the case, there are tuning tools and sheets of paper. It belongs to the genre of still life photography.",1,1162,-1,0.728217778
pair_100,a0365-jn_2007_05_09__516,2600K,a0365-jn_2007_05_09__516_2600K.jpg,20.92623057,,1,4,5,0.8,0.71,"This is an image of a table set with multiple wine glasses and a wine bottle indoors. The theme is a wine tasting event or dining preparation. Various shapes of wine glasses are neatly arranged on the table, and there are rolled napkins beside the bottle, which belongs to food photography.",-1,677,1,1
pair_100,a0365-jn_2007_05_09__516,10000K,a0365-jn_2007_05_09__516_10000K.jpg,17.75537141,,2,86,4,0.36,0.09,"This is an image of a table set with multiple wine glasses and a wine bottle indoors. The theme is a wine tasting event or dining preparation. Various shapes of wine glasses are neatly arranged on the table, and there are rolled napkins beside the bottle, which belongs to food photography.",1,6723,-1,1
pair_1000,a4326-DSC_0461,2600K,a4326-DSC_0461_2600K.jpg,6.442885269,,1,4,3,0.9,0.86,"This is an image taken on a city street at night, depicting a scene in downtown Rome, Italy. It features an ancient pyramid-shaped building surrounded by modern transportation infrastructure. The theme is the contrast between modern and ancient architecture, with white light trails showing the dynamic movement of fast-moving vehicles on the street. It belongs to the genre of urban landscape photography.",-1,500,0,0.5
pair_1000,a4326-DSC_0461,4000K,a4326-DSC_0461_4000K.jpg,6.250757576,,2,57,2,0.64,0.49,"This is an image taken on a city street at night, depicting a scene in downtown Rome, Italy. It features an ancient pyramid-shaped building surrounded by modern transportation infrastructure. The theme is the contrast between modern and ancient architecture, with white light trails showing the dynamic movement of fast-moving vehicles on the street. It belongs to the genre of urban landscape photography.",1,900,0,0.5
pair_1001,a4326-DSC_0461,2400K,a4326-DSC_0461_2400K.jpg,10.37113542,,1,3,4,0.8,0.71,"This is an image taken on a city street at night, depicting a scene in downtown Rome, Italy. It features an ancient pyramid-shaped building surrounded by modern transportation infrastructure. The theme is the contrast between modern and ancient architecture, with white light trails showing the dynamic movement of fast-moving vehicles on the street. It belongs to the genre of urban landscape photography.",-1,700,1,0.594360938
pair_1001,a4326-DSC_0461,5400K,a4326-DSC_0461_5400K.jpg,10.47665169,,2,64,5,0.44,0.2,"This is an image taken on a city street at night, depicting a scene in downtown Rome, Italy. It features an ancient pyramid-shaped building surrounded by modern transportation infrastructure. The theme is the contrast between modern and ancient architecture, with white light trails showing the dynamic movement of fast-moving vehicles on the street. It belongs to the genre of urban landscape photography.",1,2300,-1,0.594360938
pair_1002,a4326-DSC_0461,2200K,a4326-DSC_0461_2200K.jpg,15.18109545,,1,2,6,0.66,0.51,"This is an image taken on a city street at night, depicting a scene in downtown Rome, Italy. It features an ancient pyramid-shaped building surrounded by modern transportation infrastructure. The theme is the contrast between modern and ancient architecture, with white light trails showing the dynamic movement of fast-moving vehicles on the street. It belongs to the genre of urban landscape photography.",-1,900,1,0.594360938
pair_1002,a4326-DSC_0461,10000K,a4326-DSC_0461_10000K.jpg,15.44150079,,2,87,7,0.3,0,"This is an image taken on a city street at night, depicting a scene in downtown Rome, Italy. It features an ancient pyramid-shaped building surrounded by modern transportation infrastructure. The theme is the contrast between modern and ancient architecture, with white light trails showing the dynamic movement of fast-moving vehicles on the street. It belongs to the genre of urban landscape photography.",1,6900,-1,0.594360938
pair_1003,a4380-kme_0739,4000K,a4380-kme_0739_4000K.jpg,8.981004493,,1,11,3,0.8,0.71,"This is an image located next to a flowerbed outside the cathedral in the city center. The theme is the cathedral in the sunlight and blooming white lilies, showcasing the harmony between architecture and nature. It falls under the categories of architectural and landscape photography.",-1,750,0,0.5
