pair,FileName,Subfolder,ImageName,deltaE2000,Flag,class,level,Score,new_score,normalized_score,Description,Temperature_class,distance,Majority_Label,Confidence
pair_1,0_1,4000K,0_1_4000K.jpg,6.506500231,,1,11,3,0.85,0.79,"This is an image with a backdrop of a lake and snow-capped mountains, featuring a newlywed couple having their wedding photos taken by the lakeside. The groom is wearing a suit, and the bride is in a wedding dress. The background showcases the azure lake and distant snow mountains, belonging to the genre of wedding portrait photography.",-1,1000,-1,0.594360938
pair_1,0_1,6000K,0_1_6000K.jpg,4.709630216,,2,57,2,0.85,0.79,"This is an image with a backdrop of a lake and snow-capped mountains, featuring a newlywed couple having their wedding photos taken by the lakeside. The groom is wearing a suit, and the bride is in a wedding dress. The background showcases the azure lake and distant snow mountains, belonging to the genre of wedding portrait photography.",1,1000,1,0.594360938
pair_10,1001_1,3200K,1001_1_3200K.jpg,13.95730862,,1,7,4,0.65,0.5,"This is an image of a courtyard or outdoor setting, with a theme that combines people in leisure time with elements of nature. Beside them is a vase filled with white flowers. It belongs to the genre of portrait photography.",-1,1050,1,0.522782999
pair_10,1001_1,10000K,1001_1_10000K.jpg,17.05633226,,2,81,5,0.6,0.43,"This is an image of a courtyard or outdoor setting, with a theme that combines people in leisure time with elements of nature. Beside them is a vase filled with white flowers. It belongs to the genre of portrait photography.",1,5750,-1,0.522782999
pair_100,1023_8,3800K,1023_8_3800K.jpg,7.622794692,,1,10,2,0.9,0.86,"This is an image of an outdoor waterside setting, featuring an artistic expression that combines modern and traditional elements. The scene includes trees, decorative red drapes, and ornamental umbrellas, with a body of water visible in the background. It falls under the category of portrait photography.",-1,850,-1,0.594360938
pair_100,1023_8,6200K,1023_8_6200K.jpg,8.082134045,,2,60,3,0.8,0.71,"This is an image of an outdoor waterside setting, featuring an artistic expression that combines modern and traditional elements. The scene includes trees, decorative red drapes, and ornamental umbrellas, with a body of water visible in the background. It falls under the category of portrait photography.",1,1550,1,0.594360938
pair_1000,1301_2,3400K,1301_2_3400K.jpg,13.7372637,,1,8,4,0.7,0.57,"This is an image of the interior of a shopping mall, with the theme focused on people's lifestyles within the mall. The background showcases the mall's spacious atrium, where sunlight streams in brightly and evenly through the glass ceiling. It belongs to the genre of portrait photography.",-1,1250,1,0.594360938
pair_1000,1301_2,10000K,1301_2_10000K.jpg,16.36152314,,2,79,5,0.6,0.43,"This is an image of the interior of a shopping mall, with the theme focused on people's lifestyles within the mall. The background showcases the mall's spacious atrium, where sunlight streams in brightly and evenly through the glass ceiling. It belongs to the genre of portrait photography.",1,5350,-1,0.594360938
pair_1001,1302_0,4200K,1302_0_4200K.jpg,8.837311408,,1,12,3,0.8,0.71,"This is an image set in a natural environment, depicting a garden or forest surrounded by blooming white flowers. The subject is a person holding a bouquet composed of white and pink flowers, conveying the essence of spring and the beauty of purity. It falls under the category of portrait photography.",-1,850,-1,0.522782999
pair_1001,1302_0,6400K,1302_0_6400K.jpg,7.555309838,,2,59,2,0.9,0.86,"This is an image set in a natural environment, depicting a garden or forest surrounded by blooming white flowers. The subject is a person holding a bouquet composed of white and pink flowers, conveying the essence of spring and the beauty of purity. It falls under the category of portrait photography.",1,1350,1,0.522782999
pair_1002,1302_0,3400K,1302_0_3400K.jpg,19.55911609,,1,8,5,0.6,0.43,"This is an image set in a natural environment, depicting a garden or forest surrounded by blooming white flowers. The subject is a person holding a bouquet composed of white and pink flowers, conveying the essence of spring and the beauty of purity. It falls under the category of portrait photography.",-1,1650,-1,1
pair_1002,1302_0,10000K,1302_0_10000K.jpg,14.40999763,,2,77,4,0.7,0.57,"This is an image set in a natural environment, depicting a garden or forest surrounded by blooming white flowers. The subject is a person holding a bouquet composed of white and pink flowers, conveying the essence of spring and the beauty of purity. It falls under the category of portrait photography.",1,4950,1,1
pair_1003,1303_2,5800K,1303_2_5800K.jpg,5.721749732,,1,20,2,0.9,0.86,"This is an image taken in front of a barbed wire fence, with the theme focused on emotional contrast expression. It belongs to the genre of portrait photography.",-1,1150,1,0.522782999
pair_1003,1303_2,10000K,1303_2_10000K.jpg,7.45793916,,2,68,3,0.7,0.57,"This is an image taken in front of a barbed wire fence, with the theme focused on emotional contrast expression. It belongs to the genre of portrait photography.",1,3050,-1,0.522782999
pair_1004,1304_2,4200K,1304_2_4200K.jpg,6.206434265,,1,12,2,0.85,0.79,"This is an image of a garden, featuring a vividly dressed figure standing among flowers, holding a large yellow blossom. Surrounded by greenery and colorful blooms, it belongs to the category of portrait photography.",-1,1300,-1,0.522782999
pair_1004,1304_2,10000K,1304_2_10000K.jpg,7.344043977,,2,75,3,0.85,0.79,"This is an image of a garden, featuring a vividly dressed figure standing among flowers, holding a large yellow blossom. Surrounded by greenery and colorful blooms, it belongs to the category of portrait photography.",1,4500,1,0.522782999
pair_1005,1305_5,3800K,1305_5_3800K.jpg,4.825668713,,1,10,3,0.8,0.71,"This is an indoor image featuring a fashionably dressed young person resting by the window. They are wearing a red top and a white skirt, sitting on the windowsill. It belongs to the genre of portrait photography.",-1,550,-1,0.522782999
pair_1005,1305_5,5000K,1305_5_5000K.jpg,3.816221488,,2,56,2,0.9,0.86,"This is an indoor image featuring a fashionably dressed young person resting by the window. They are wearing a red top and a white skirt, sitting on the windowsill. It belongs to the genre of portrait photography.",1,650,1,0.522782999
pair_1006,1305_5,3200K,1305_5_3200K.jpg,10.09470736,,1,7,5,0.55,0.36,"This is an indoor image featuring a fashionably dressed young person resting by the window. They are wearing a red top and a white skirt, sitting on the windowsill. It belongs to the genre of portrait photography.",-1,1150,-1,0.728217778
pair_1006,1305_5,6400K,1305_5_6400K.jpg,7.595644351,,2,63,4,0.7,0.57,"This is an indoor image featuring a fashionably dressed young person resting by the window. They are wearing a red top and a white skirt, sitting on the windowsill. It belongs to the genre of portrait photography.",1,2050,1,0.728217778
pair_1007,1305_5,2800K,1305_5_2800K.jpg,13.49194729,,1,5,7,0.4,0.14,"This is an indoor image featuring a fashionably dressed young person resting by the window. They are wearing a red top and a white skirt, sitting on the windowsill. It belongs to the genre of portrait photography.",-1,1550,-1,1
pair_1007,1305_5,10000K,1305_5_10000K.jpg,10.97634116,,2,81,6,0.55,0.36,"This is an indoor image featuring a fashionably dressed young person resting by the window. They are wearing a red top and a white skirt, sitting on the windowsill. It belongs to the genre of portrait photography.",1,5650,1,1
pair_1008,1306_11,4400K,1306_11_4400K.jpg,6.3491415,,1,13,2,0.9,0.86,"This is an image of an outdoor park scene with a background featuring green grass and some palm trees, likely located in a warm climate region. The subject is a stylishly dressed woman striking a casual pose in front of a metal structure, which might be part of a sculpture or a large amusement facility. It falls under the category of fashion photography.",-1,650,0,0.5
pair_1008,1306_11,6400K,1306_11_6400K.jpg,7.829691291,,2,59,3,0.8,0.71,"This is an image of an outdoor park scene with a background featuring green grass and some palm trees, likely located in a warm climate region. The subject is a stylishly dressed woman striking a casual pose in front of a metal structure, which might be part of a sculpture or a large amusement facility. It falls under the category of fashion photography.",1,1350,0,0.5
pair_1009,1306_11,3800K,1306_11_3800K.jpg,13.20997289,,1,10,4,0.65,0.5,"This is an image of an outdoor park scene with a background featuring green grass and some palm trees, likely located in a warm climate region. The subject is a stylishly dressed woman striking a casual pose in front of a metal structure, which might be part of a sculpture or a large amusement facility. It falls under the category of fashion photography.",-1,1250,1,0.594360938
pair_1009,1306_11,10000K,1306_11_10000K.jpg,14.33944076,,2,77,5,0.65,0.5,"This is an image of an outdoor park scene with a background featuring green grass and some palm trees, likely located in a warm climate region. The subject is a stylishly dressed woman striking a casual pose in front of a metal structure, which might be part of a sculpture or a large amusement facility. It falls under the category of fashion photography.",1,4950,-1,0.594360938
pair_101,1023_8,3200K,1023_8_3200K.jpg,14.7937311,,1,7,5,0.65,0.5,"This is an image of an outdoor waterside setting, featuring an artistic expression that combines modern and traditional elements. The scene includes trees, decorative red drapes, and ornamental umbrellas, with a body of water visible in the background. It falls under the category of portrait photography.",-1,1450,-1,1
pair_101,1023_8,10000K,1023_8_10000K.jpg,14.48653075,,2,79,4,0.65,0.5,"This is an image of an outdoor waterside setting, featuring an artistic expression that combines modern and traditional elements. The scene includes trees, decorative red drapes, and ornamental umbrellas, with a body of water visible in the background. It falls under the category of portrait photography.",1,5350,1,1
pair_1010,1306_8,4200K,1306_8_4200K.jpg,8.651171196,,1,12,3,0.8,0.71,"This is an image of an outdoor natural environment, featuring a wooden structure and metal panels in the background, with grass covering the greenery. The subject is a person leisurely sitting on a chair, dressed in casual clothing, enjoying a peaceful time outdoors. It belongs to the genre of portrait photography.",-1,850,-1,0.594360938
pair_1010,1306_8,6600K,1306_8_6600K.jpg,8.58735018,,2,60,2,0.9,0.86,"This is an image of an outdoor natural environment, featuring a wooden structure and metal panels in the background, with grass covering the greenery. The subject is a person leisurely sitting on a chair, dressed in casual clothing, enjoying a peaceful time outdoors. It belongs to the genre of portrait photography.",1,1550,1,0.594360938
pair_1011,1306_8,3600K,1306_8_3600K.jpg,15.77357631,,1,9,5,0.6,0.43,"This is an image of an outdoor natural environment, featuring a wooden structure and metal panels in the background, with grass covering the greenery. The subject is a person leisurely sitting on a chair, dressed in casual clothing, enjoying a peaceful time outdoors. It belongs to the genre of portrait photography.",-1,1450,-1,1
