pair,FileName,Subfolder,ImageName,deltaE2000,Description,Majority_Label,Confidence
pair_1,a0001-jmac_DSC1459,3600K,a0001-jmac_DSC1459_3600K.jpg,8.434052889,"This is an image of Monument Valley in the southwestern United States desert region. The theme focuses on the massive rock formations sculpted by nature and the vast desert landscape, categorized as landscape photography.",-1,0.728217778
pair_1,a0001-jmac_DSC1459,5200K,a0001-jmac_DSC1459_5200K.jpg,8.370935584,"This is an image of Monument Valley in the southwestern United States desert region. The theme focuses on the massive rock formations sculpted by nature and the vast desert landscape, categorized as landscape photography.",1,0.728217778
pair_10,a0001-jmac_DSC1459,4250K,a0001-jmac_DSC1459_gt.jpg,0,"This is an image of Monument Valley in the southwestern United States desert region. The theme focuses on the massive rock formations sculpted by nature and the vast desert landscape, categorized as landscape photography.",1,1
pair_10,a0001-jmac_DSC1459,2000K,a0001-jmac_DSC1459_2000K.jpg,29.37264397,"This is an image of Monument Valley in the southwestern United States desert region. The theme focuses on the massive rock formations sculpted by nature and the vast desert landscape, categorized as landscape photography.",-1,1
pair_100,a0057-kme_406,5000K,a0057-kme_406_gt.jpg,0,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",1,1
pair_100,a0057-kme_406,7200K,a0057-kme_406_7200K.jpg,12.73584487,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",-1,1
pair_1000,a1018-jn_20081025_Kent_Shelter_055,5150K,a1018-jn_20081025_Kent_Shelter_055_gt.jpg,0,"This is an image of an indoor environment, featuring two dogs on leashes moving around on the floor. It falls under the category of animal photography.",1,1
pair_1000,a1018-jn_20081025_Kent_Shelter_055,2800K,a1018-jn_20081025_Kent_Shelter_055_2800K.jpg,24.92094513,"This is an image of an indoor environment, featuring two dogs on leashes moving around on the floor. It falls under the category of animal photography.",-1,1
pair_1001,a1018-jn_20081025_Kent_Shelter_055,5150K,a1018-jn_20081025_Kent_Shelter_055_gt.jpg,0,"This is an image of an indoor environment, featuring two dogs on leashes moving around on the floor. It falls under the category of animal photography.",1,1
pair_1001,a1018-jn_20081025_Kent_Shelter_055,2000K,a1018-jn_20081025_Kent_Shelter_055_2000K.jpg,30.80290314,"This is an image of an indoor environment, featuring two dogs on leashes moving around on the floor. It falls under the category of animal photography.",-1,1
pair_1002,a1058-_I2E8070,3200K,a1058-_I2E8070_3200K.jpg,8.543616727,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",1,1
