pair,FileName,Subfolder,ImageName,Description,Majority_Label,Confidence
pair_1,0_1,4000K,0_1_4000K.jpg,"This is an image with a backdrop of a lake and snow-capped mountains, featuring a newlywed couple having their wedding photos taken by the lakeside. The groom is wearing a suit, and the bride is in a wedding dress. The background showcases the azure lake and distant snow mountains, belonging to the genre of wedding portrait photography.",-1,0.594360938
pair_1,0_1,6000K,0_1_6000K.jpg,"This is an image with a backdrop of a lake and snow-capped mountains, featuring a newlywed couple having their wedding photos taken by the lakeside. The groom is wearing a suit, and the bride is in a wedding dress. The background showcases the azure lake and distant snow mountains, belonging to the genre of wedding portrait photography.",1,0.594360938
pair_10,0_1,5000K,0_1_gt.jpg,"This is an image with a backdrop of a lake and snow-capped mountains, featuring a newlywed couple having their wedding photos taken by the lakeside. The groom is wearing a suit, and the bride is in a wedding dress. The background showcases the azure lake and distant snow mountains, belonging to the genre of wedding portrait photography.",1,1
pair_10,0_1,2000K,0_1_2000K.jpg,"This is an image with a backdrop of a lake and snow-capped mountains, featuring a newlywed couple having their wedding photos taken by the lakeside. The groom is wearing a suit, and the bride is in a wedding dress. The background showcases the azure lake and distant snow mountains, belonging to the genre of wedding portrait photography.",-1,1
pair_100,1004_2,5000K,1004_2_gt.jpg,"This is an image of an outdoor scene featuring a young girl dressed in fashionable attire sitting beside a bush. She is holding a camera in her hand, seemingly enjoying the process of taking photos or contemplating her subject. It falls under the category of portrait photography.",1,1
pair_100,1004_2,3600K,1004_2_3600K.jpg,"This is an image of an outdoor scene featuring a young girl dressed in fashionable attire sitting beside a bush. She is holding a camera in her hand, seemingly enjoying the process of taking photos or contemplating her subject. It falls under the category of portrait photography.",-1,1
pair_1000,1081_0,5050K,1081_0_gt.jpg,"This is an image of a courtyard blending Chinese and Western architectural styles, with a theme of luxury and vintage aesthetics, belonging to the genre of fashion portrait photography.",1,1
pair_1000,1081_0,10000K,1081_0_10000K.jpg,"This is an image of a courtyard blending Chinese and Western architectural styles, with a theme of luxury and vintage aesthetics, belonging to the genre of fashion portrait photography.",-1,1
pair_1001,1081_0,5050K,1081_0_gt.jpg,"This is an image of a courtyard blending Chinese and Western architectural styles, with a theme of luxury and vintage aesthetics, belonging to the genre of fashion portrait photography.",1,1
pair_1001,1081_0,3000K,1081_0_3000K.jpg,"This is an image of a courtyard blending Chinese and Western architectural styles, with a theme of luxury and vintage aesthetics, belonging to the genre of fashion portrait photography.",-1,1
pair_1002,1081_0,5050K,1081_0_gt.jpg,"This is an image of a courtyard blending Chinese and Western architectural styles, with a theme of luxury and vintage aesthetics, belonging to the genre of fashion portrait photography.",1,1
pair_1002,1081_0,2400K,1081_0_2400K.jpg,"This is an image of a courtyard blending Chinese and Western architectural styles, with a theme of luxury and vintage aesthetics, belonging to the genre of fashion portrait photography.",-1,1
pair_1003,1081_0,5050K,1081_0_gt.jpg,"This is an image of a courtyard blending Chinese and Western architectural styles, with a theme of luxury and vintage aesthetics, belonging to the genre of fashion portrait photography.",1,1
pair_1003,1081_0,2000K,1081_0_2000K.jpg,"This is an image of a courtyard blending Chinese and Western architectural styles, with a theme of luxury and vintage aesthetics, belonging to the genre of fashion portrait photography.",-1,1
pair_1004,1082_1,3800K,1082_1_3800K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",0,0.5
pair_1004,1082_1,5800K,1082_1_5800K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",0,0.5
pair_1005,1082_1,3200K,1082_1_3200K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",0,0.5
pair_1005,1082_1,10000K,1082_1_10000K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",0,0.5
pair_1006,1082_1,4550K,1082_1_gt.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",1,1
pair_1006,1082_1,5800K,1082_1_5800K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",-1,1
pair_1007,1082_1,4550K,1082_1_gt.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",1,1
pair_1007,1082_1,3800K,1082_1_3800K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",-1,1
pair_1008,1082_1,4550K,1082_1_gt.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",1,1
pair_1008,1082_1,10000K,1082_1_10000K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",-1,1
pair_1009,1082_1,4550K,1082_1_gt.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",1,1
pair_1009,1082_1,3200K,1082_1_3200K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",-1,1
pair_101,1004_2,5000K,1004_2_gt.jpg,"This is an image of an outdoor scene featuring a young girl dressed in fashionable attire sitting beside a bush. She is holding a camera in her hand, seemingly enjoying the process of taking photos or contemplating her subject. It falls under the category of portrait photography.",1,1
pair_101,1004_2,3000K,1004_2_3000K.jpg,"This is an image of an outdoor scene featuring a young girl dressed in fashionable attire sitting beside a bush. She is holding a camera in her hand, seemingly enjoying the process of taking photos or contemplating her subject. It falls under the category of portrait photography.",-1,1
pair_1010,1082_1,4550K,1082_1_gt.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",1,1
pair_1010,1082_1,2800K,1082_1_2800K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",-1,1
pair_1011,1082_1,4550K,1082_1_gt.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",1,1
pair_1011,1082_1,2400K,1082_1_2400K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",-1,1
pair_1012,1082_1,4550K,1082_1_gt.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",1,1
pair_1012,1082_1,2000K,1082_1_2000K.jpg,"This is an indoor image featuring two female models dressed in sportswear, showcasing a healthy and fitness-oriented lifestyle. It belongs to the genre of portrait photography.",-1,1
pair_1013,1082_4,3800K,1082_4_3800K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",0,0.5
pair_1013,1082_4,6000K,1082_4_6000K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",0,0.5
